publish_time,now_rank,fanghao,share,danmaku,aid,coin,his_rank,tminfo,title,url,favorite,reply,view
2016-09-09 08:00,0,6203703,247,7317,6203703,1253,0,番剧,齐木楠雄的灾难（日播版） : 第50集 最适合告白!?通灵术,http://www.bilibili.com/video/av6203703,330,2066,1095325
2016-09-23 16:49,0,nil,434,10492,6384185,25396,81,游戏,【敖厂长】抽风扯蛋游戏,http://www.bilibili.com/video/av6384185,3079,3747,1063661
2016-09-09 01:28,0,nil,1396,5449,6206642,12860,96,舞蹈,【_困君_】【极乐净土】旗袍 襦裙 10cm细跟无防水台,http://www.bilibili.com/video/av6206642,24663,2109,1051390
2016-09-23 08:00,0,6375245,223,5938,6375245,1384,0,番剧,齐木楠雄的灾难（日播版） : 第60集 你好！冲绳修学旅行,http://www.bilibili.com/video/av6375245,383,3173,1088691
2016-09-13 21:46,1,nil,4676,117896,6266279,41597,80,动画,经典！B站影响力最大的10部动画,http://www.bilibili.com/video/av6266279,83563,10840,1040654
2016-09-28 11:59,1,nil,13650,11739,6445189,32169,99,舞蹈,【翻跳重组】极乐净土/咋了净土,http://www.bilibili.com/video/av6445189,33170,3168,1033212
2016-09-15 08:00,0,6275111,178,5142,6275111,1241,0,番剧,齐木楠雄的灾难（日播版） : 第54集 齐木楠雄的祭典,http://www.bilibili.com/video/av6275111,292,2129,1037937
2016-09-09 03:51,0,nil,262,5873,6207036,3705,34,游戏,主播真会玩55：剧组演员也敌不过正义的骚猪！,http://www.bilibili.com/video/av6207036,1334,1156,1028176
2016-09-06 08:00,0,6169183,248,7526,6169183,1491,0,番剧,齐木楠雄的灾难（日播版） : 第47集 小小的恋爱物语,http://www.bilibili.com/video/av6169183,406,1803,1031429
2016-09-07 08:00:10,0,6179885,145,3483,6179885,1137,0,番剧,齐木楠雄的灾难（日播版） : 第48集 垃圾游戏新作！奥尔法纳物语,http://www.bilibili.com/video/av6179885,298,2049,1015116
2016-09-22 18:19,0,nil,3270,20419,6374661,32215,27,动画,【LexBurner】评《Re：从零开始的异世界生活》，仅此而已的故事,http://www.bilibili.com/video/av6374661,15314,33633,1008541
2016-09-02 01:20,0,nil,282,6922,6120331,4604,32,游戏,主播真会玩54：鲟将军！当之无愧的第一亚索！,http://www.bilibili.com/video/av6120331,1259,1547,1000693
2016-09-08 08:00:10,0,6193586,144,5930,6193586,1239,0,番剧,齐木楠雄的灾难（日播版） : 第49集 欢迎回来！真魔（妈妈）,http://www.bilibili.com/video/av6193586,351,2014,1014895
2016-09-05 08:00,0,6159692,156,5596,6159692,1208,0,番剧,齐木楠雄的灾难（日播版） : 第46集 最燃！体育测试,http://www.bilibili.com/video/av6159692,289,1699,1000059
2016-09-12 08:00,0,6242071,179,5723,6242071,1282,0,番剧,齐木楠雄的灾难（日播版） : 第51集 改造人汽水侠2号,http://www.bilibili.com/video/av6242071,304,1714,993633
2016-09-26 08:00,0,6417044,151,4918,6417044,1516,0,番剧,齐木楠雄的灾难（日播版） : 第61集 对不起！冲绳修学旅行,http://www.bilibili.com/video/av6417044,252,2552,990504
2016-09-28 08:00,0,6437347,150,9311,6437347,1304,0,番剧,齐木楠雄的灾难（日播版） : 第63集 呀吼！冲绳修学旅行,http://www.bilibili.com/video/av6437347,256,2522,984349
2016-09-27 08:00,0,6429831,152,6278,6429831,1365,0,番剧,齐木楠雄的灾难（日播版） : 第62集 最糟糕的夜晚遭遇in冲绳,http://www.bilibili.com/video/av6429831,264,2482,984225
2016-09-14 08:00,0,6263996,139,6015,6263996,1103,0,番剧,齐木楠雄的灾难（日播版） : 第53集 汽水侠2号VS怪人柠檬汁,http://www.bilibili.com/video/av6263996,263,1486,981684
2016-09-29 08:00,0,6450395,125,5349,6450395,1443,0,番剧,齐木楠雄的灾难（日播版） : 第64集 明天见！冲绳修学旅行,http://www.bilibili.com/video/av6450395,199,1887,976777
2016-09-09 10:39,0,nil,398,23810,6208512,5787,0,番剧,狐妖小红娘 39 在梦中与你相见,http://www.bilibili.com/video/av6208512,799,3260,965465
2016-09-19 08:00,0,6335252,116,5383,6335252,1238,0,番剧,齐木楠雄的灾难（日播版） : 第56集 获胜的是谁！？命运的班级抽签,http://www.bilibili.com/video/av6335252,283,2358,972883
2016-09-13 08:00,0,6255382,124,4112,6255382,1105,0,番剧,齐木楠雄的灾难（日播版） : 第52集 超大型一流企业！？父亲的工作,http://www.bilibili.com/video/av6255382,260,1516,968846
2016-09-02 10:24,0,nil,441,28125,6122201,6179,0,番剧,狐妖小红娘 38 我想要的，只有她！,http://www.bilibili.com/video/av6122201,917,3839,963134
2016-09-26 18:00,0,nil,1269,11150,6426665,10402,4,生活,papi酱的周一放送——我待生活如初恋，生活待我如大便,http://www.bilibili.com/video/av6426665,4283,3033,954927
2016-09-23 01:06,0,nil,249,5721,6378813,4271,18,游戏,【主播真会玩】57：老冰鸟冻结“卢本伟”强行改名！,http://www.bilibili.com/video/av6378813,1217,1131,949337
2016-09-09 18:07,0,nil,4753,10112,6213192,15581,27,生活,papi酱不定期更新的日常——pa老师的教师play,http://www.bilibili.com/video/av6213192,8651,3229,945134
2016-09-22 08:00,0,6365710,139,4166,6365710,1065,0,番剧,齐木楠雄的灾难（日播版） : 第59集 我来了！冲绳修学旅行,http://www.bilibili.com/video/av6365710,241,1837,956245
2016-09-02 21:40,0,nil,1345,51363,6130025,3947,0,番剧,【合集】弹丸论破：希望的学园与绝望的高中生,http://www.bilibili.com/video/av6130025,17239,5213,944711
2016-09-03 08:46,1,nil,8444,11206,6134548,117566,82,舞蹈,【喵呜酱/Lemon】正片【拉姆&雷姆空中舞】《Re：从零开始的异世界生活ED》高能版宅舞初放送,http://www.bilibili.com/video/av6134548,58249,8766,917077
2016-09-21 08:00,0,6355463,132,5332,6355463,1255,0,番剧,齐木楠雄的灾难（日播版） : 第58集 乘坐搭载着超能力者的飞机出发！,http://www.bilibili.com/video/av6355463,225,2100,930903
2016-09-20 08:00,0,6345624,131,4759,6345624,1481,0,番剧,齐木楠雄的灾难（日播版） : 第57集 旅途总伴随着灾难,http://www.bilibili.com/video/av6345624,280,1982,934448
2016-09-26 18:05,0,nil,2648,4577,6426720,10671,28,鬼畜,主播真会玩鬼畜篇04：看到洞主还是这么傻我们都放心了！,http://www.bilibili.com/video/av6426720,11303,2592,914196
2016-09-07 18:25,0,6190356,198,28332,6190356,1545,0,番剧,双星之阴阳师 : 第22集 不是染上污秽了嘛~,http://www.bilibili.com/video/av6190356,305,1955,916150
2016-09-08 18:17,1,nil,2419,4458,6202208,18121,27,舞蹈,【楽小漫】一骑当千【首度挑战个人性感宅舞画风 ?(? ???ω??? ?)?】,http://www.bilibili.com/video/av6202208,42697,1925,912217
