danmaku,now_rank,aid,url,reply,share,coin,favorite,his_rank,view
19997,0,6159680,http://www.bilibili.com/video/av6159680,2914,347,2404,480,0,698035
5425,0,6280036,http://www.bilibili.com/video/av6280036,1989,6952,13898,34163,58,690774
11585,0,6242069,http://www.bilibili.com/video/av6242069,847,276,1043,220,0,690670
2588,0,6364951,http://www.bilibili.com/video/av6364951,3160,1706,2711,2606,46,689853
3888,0,6114258,http://www.bilibili.com/video/av6114258,1805,6302,23747,29459,89,687554
4105,0,6201866,http://www.bilibili.com/video/av6201866,3163,4220,2235,20196,43,677582
25645,0,6171105,http://www.bilibili.com/video/av6171105,10559,372,1602,507,0,674433
15709,0,6386091,http://www.bilibili.com/video/av6386091,6371,6239,43188,33781,86,669951
21949,0,6254370,http://www.bilibili.com/video/av6254370,6465,244,1609,417,0,667453
44965,0,6465971,http://www.bilibili.com/video/av6465971,3061,4354,13592,9087,92,666659
12599,0,6190389,http://www.bilibili.com/video/av6190389,2820,136,5601,2175,23,650710
9371,0,6380138,http://www.bilibili.com/video/av6380138,2185,429,10105,4183,33,650211
6802,0,6460748,http://www.bilibili.com/video/av6460748,1306,3605,17438,19139,15,649177
28103,0,6293816,http://www.bilibili.com/video/av6293816,2991,274,2411,403,0,649021
73037,0,6175933,http://www.bilibili.com/video/av6175933,4099,765,3771,8229,0,647843
2063,0,6252635,http://www.bilibili.com/video/av6252635,981,97,1986,545,96,646693
33279,0,6460418,http://www.bilibili.com/video/av6460418,8132,716,3797,1258,0,646184
2477,0,6236171,http://www.bilibili.com/video/av6236171,799,478,1936,1549,30,645304
6668,0,6127578,http://www.bilibili.com/video/av6127578,1836,1731,20825,21549,53,639554
3685,0,6446345,http://www.bilibili.com/video/av6446345,3903,3020,15353,9818,35,638584
22879,0,6346043,http://www.bilibili.com/video/av6346043,7707,351,1685,568,0,638419
28151,0,6429054,http://www.bilibili.com/video/av6429054,5674,356,1307,383,0,638031
18192,0,6116040,http://www.bilibili.com/video/av6116040,5396,277,1533,574,0,637440
9420,0,6335256,http://www.bilibili.com/video/av6335256,1221,193,1046,195,0,627345
11743,0,6243774,http://www.bilibili.com/video/av6243774,3038,188,1643,254,0,626181
1934,0,6369912,http://www.bilibili.com/video/av6369912,703,397,4384,17340,65,624212
3741,0,6227723,http://www.bilibili.com/video/av6227723,2459,1574,1232,18316,58,623503
4487,0,6470435,http://www.bilibili.com/video/av6470435,912,5650,14805,23275,33,623437
21883,0,6465954,http://www.bilibili.com/video/av6465954,8519,539,1906,776,0,622531
12386,0,6388363,http://www.bilibili.com/video/av6388363,2447,682,4632,2362,78,618362
42169,0,6164935,http://www.bilibili.com/video/av6164935,3970,697,2374,6413,0,614008
19810,0,6140886,http://www.bilibili.com/video/av6140886,5212,383,2151,450,0,613622
2397,0,6211409,http://www.bilibili.com/video/av6211409,1331,372,741,7931,38,612329
40064,0,6472046,http://www.bilibili.com/video/av6472046,3895,6068,4786,14303,0,603899
9458,0,6417042,http://www.bilibili.com/video/av6417042,1214,249,956,170,0,603642
5741,0,6271596,http://www.bilibili.com/video/av6271596,1914,5181,6490,16955,31,602650
31542,0,6292061,http://www.bilibili.com/video/av6292061,12409,588,1776,594,0,601927
7514,0,6181669,http://www.bilibili.com/video/av6181669,2079,8267,41506,34635,99,600382
2264,1,6351680,http://www.bilibili.com/video/av6351680,1083,3578,17644,22584,75,599328
6514,0,6264711,http://www.bilibili.com/video/av6264711,3273,1954,2664,2536,26,599067
15897,0,6203732,http://www.bilibili.com/video/av6203732,5379,230,1155,419,0,595036
57552,0,6376700,http://www.bilibili.com/video/av6376700,4782,702,6356,910,0,591475
2494,0,6406308,http://www.bilibili.com/video/av6406308,678,438,2423,1439,32,588925
3284,0,6412200,http://www.bilibili.com/video/av6412200,640,7929,1909,12101,80,584938
4217,0,6330413,http://www.bilibili.com/video/av6330413,1139,1049,2015,3040,0,582477
4044,0,6352727,http://www.bilibili.com/video/av6352727,3431,2856,19074,13588,45,580579
3537,0,6253943,http://www.bilibili.com/video/av6253943,1698,1795,2831,2944,71,580062
15395,0,6376735,http://www.bilibili.com/video/av6376735,3937,259,1378,518,0,579160
4669,0,6383494,http://www.bilibili.com/video/av6383494,1938,677,6415,12850,18,576649
2603,0,6168691,http://www.bilibili.com/video/av6168691,833,3012,25380,18219,79,575349
4593,1,6423537,http://www.bilibili.com/video/av6423537,2067,3731,19887,19958,95,574330
7144,0,6376730,http://www.bilibili.com/video/av6376730,2136,286,6142,1189,49,574328
3279,0,6152482,http://www.bilibili.com/video/av6152482,1124,655,2356,1524,32,573509
77379,0,6136009,http://www.bilibili.com/video/av6136009,10943,2217,7874,10708,0,572605
8125,0,6118687,http://www.bilibili.com/video/av6118687,1651,325,5765,1148,66,572132
8671,0,6128219,http://www.bilibili.com/video/av6128219,4801,1861,21456,25699,15,570425
2066,0,6459857,http://www.bilibili.com/video/av6459857,1252,2213,22733,40259,51,567624
